Diện tích,Lượt xem,Số tầng,Hướng,name,Mức giá,Địa chỉ,Số phòng
100m2,391, 3, Tây Nam,BÁN NHÀ 3 TẦNG ĐƯỜNG TÔN THẤT DƯƠNG KỴ- HOÀ XUÂN - TP ĐÀ NẴNG,5.95 tỷ," Tôn Thất Dương Kỵ, Cẩm Lệ, Đà Nẵng", 3
100m2,277,, Không xác định,CHÍNH CHỦ CẦN BÁN LÔ BÙI TRANG CHƯỚC - SẠCH ĐẸP,4.75 tỷ," Bùi Trang Chước, Cẩm Lệ, Đà Nẵng",
100m2,348, 3, Tây Nam,BÁN NHÀ 3 TẦNG ĐƯỜNG TÔN THẤT DƯƠNG KỴ- HOÀ XUÂN - TP ĐÀ NẴNG,5.95 tỷ," Tôn Thất Dương Kỵ, Hoà Xuân , Cẩm Lệ, Đà Nẵng", 3
120m2,294,, Tây,CHÍNH CHỦ CẦN BÁN LÔ ĐẤT SẠCH ĐẸP ĐƯỜNG NGÔ MÂY HƯỚNG TÂY- HÒA XUÂN- CẨM LỆ,3.3 tỷ," Ngô Mây, Cẩm Lệ, Đà Nẵng",
157m2,367,, Đông Nam,"CHÍNH CHỦ CẦN BÁN LÔ ĐẤT HAI MẶT TIỀN LỖ GIÁNG 4 VÀ LÊ QUẢNG BA, KHU NAM CẦU CẨM LỆ, ĐÀ NẴNG",4.7 tỷ," Lê Quảng Ba, Cẩm Lệ, Đà Nẵng",
100m2,208,, Bắc,"CẦN BÁN LÔ ĐẤT VỊ TRÍ SẠCH ĐẸP ĐƯỜNG NGUYỄN HIẾN LÊ HÒA XUÂN,CẨM LỆ. - VỊ TRÍ THUẬN LỢI : + GẦN ĐƯỜNG HUYẾT MẠCH 29/3, NẰM GIỮA ĐƯỜNG PHẠM XUÂN ẨN & LA HỐI. + NẰM TRONG KHU DÂN TRÍ CAO NA",4.25 tỷ," Nguyễn Hiến Lê , Cẩm Lệ, Đà Nẵng",
100m2,275,, Tây,CHÍNH CHỦ CẦN BÁN LÔ PHAN KHÔI - HÒA XUÂN - CẨM LÊ - ĐÀ NẴNG,3.15 tỷ," phan khôi, Cẩm Lệ, Đà Nẵng",
157m2,368,, Đông Nam,"CHÍNH CHỦ CẦN BÁN LÔ ĐẤT HAI MẶT TIỀN LỖ GIÁNG 4 VÀ LÊ QUẢNG BA, KHU NAM CẦU CẨM LỆ, ĐÀ NẴNG",4.7 tỷ," Lê Quảng Ba, Cẩm Lệ, Đà Nẵng",
125m2,269, 3, Tây,CHÀO BÁN NHÀ NGUYỄN HỮU THỌ - VỊ TRÍ KINH DOANH HÀNG ĐẦU,16.5 tỷ," NGUYỄN HỮU THỌ, Cẩm Lệ, Đà Nẵng", 4
120m2,286,, Không xác định,BÁN LÔ ĐẤT SẠCH ĐẸP ĐƯỜNG NGÔ MÂY HƯỚNG TÂY- HÒA XUÂN- CẨM LỆ,3.3 tỷ," Ngô Mây], Cẩm Lệ, Đà Nẵng",
100m2,391,, Đông Nam,CẦN BÁN LÔ ĐẤT ĐƯỜNG NGUYỄN HIẾN LÊ- HÒA XUÂN - ĐÀ NẴNG,4.25 tỷ," Nguyễn Hiến Lê, Cẩm Lệ, Đà Nẵng",
87m2,380,, Đông Bắc,ĐẤT ĐƯỜNG TRẦN THÚC NHẪN - HÒA XUÂN - ĐÀ NẴNG,3.8 tỷ," trần thúc nhẫn, Hoà Xuân , Cẩm Lệ, Đà Nẵng",
Liên hệ,258,, Tây Nam,BÁN CĂN NHÀ XƯỞNG 2 TẦNG TIỀN CHẾ- ĐƯỜNG BÙI TRANG CHƯỚC- GIÁ TỐT ĐẦU TƯ,4.65 tỷ," BÙI TRANG CHƯỚC, Hoà Xuân , Cẩm Lệ, Đà Nẵng",
125m2,236, 4, Tây,CHÍNH CHỦ CẦN CHUYỂN NHƯỢNG CĂN NHÀ TÂM HUYẾT ĐƯỜNG NGUYỄN HỮU THỌ - KHUÊ TRUNG - ĐÀ NẴNG,12.5 tỷ," Nguyễn hữu thọ, Khuê Trung, Cẩm Lệ, Đà Nẵng", 4
222m2,563,, Đông Nam,BÁN CĂN BIỆT THỰ 3 TẦNG KHU HÒA QUÝ- NGŨ HÀNH SƠN -SIÊU ĐẸP- TP ĐÀ NẴNG,9.2 tỷ," Hoà Quý , Ngũ Hành Sơn, Đà Nẵng",
100m2,261,, Tây Bắc,CHUYỂN NHƯỢNG LÔ ĐẤT ĐẸP ĐƯỜNG THANH LƯƠNG 21 B1.94 ĐỐI LƯNG ĐƯỜNG LÊ QUẢNG CHÍ.,Liên hệ," Hoà Xuân , Cẩm Lệ, Đà Nẵng",
100m2,352,, Đông Bắc,LÔ ĐẤT ĐẸP ĐƯỜNG NGÔ HUY DIỄN GIÁ TỐT CẦN BÁN,5.25 tỷ," Ngô Huy Diễn, Cẩm Lệ, Đà Nẵng",
144m2,408,, Không xác định,LÔ ĐẤT 2MT VỊ TRÍ CHIẾN LƯỢC ĐƯỜNG VŨ XUÂN THIỀU HÒA XUÂN,4.25 tỷ," Nguyễn Hiến Lê, Cẩm Lệ, Đà Nẵng",
100m2,360,, Đông Bắc,"BÁN ĐẤT ĐƯỜNG HUỲNH NGỌC ĐỦ, HƯỚNG ĐÔNG BẮC, GẦN CẦU NGUYỄN TRI PHƯƠNG",4.1 tỷ," huỳnh ngọc đủ, Cẩm Lệ, Đà Nẵng",
100m2,361,, Đông Bắc,"BÁN ĐẤT ĐƯỜNG HUỲNH NGỌC ĐỦ, HƯỚNG ĐÔNG BẮC, GẦN CẦU NGUYỄN TRI PHƯƠNG",4.1 tỷ," huỳnh ngọc đủ, Cẩm Lệ, Đà Nẵng",
100m2,331,, Đông Bắc,"BÁN ĐẤT ĐƯỜNG HUỲNH NGỌC ĐỦ, HƯỚNG ĐÔNG BẮC, GẦN CẦU NGUYỄN TRI PHƯƠNG",4.1 tỷ," huỳnh ngọc đủ, Cẩm Lệ, Đà Nẵng",
100m2,357,, Tây Nam,CHÍNH CHỦ CẦN BÁN THANH LƯƠNG 28 KẸP CỐNG - HÒA XUÂN,Liên hệ," thanh lương 28, Cẩm Lệ, Đà Nẵng",
125m2,269, 3, Tây,CHÀO BÁN NHÀ NGUYỄN HỮU THỌ - VỊ TRÍ KINH DOANH HÀNG ĐẦU,16.5 tỷ," NGUYỄN HỮU THỌ, Cẩm Lệ, Đà Nẵng", 4
100m2,307, 3, Đông Nam,BÁN NHÀ 3 TẦNG SIÊU ĐẸP ĐỐI DIỆN CÔNG VIÊN MAI CHÍ THỌ - ĐẢO VIP- HOÀ XUÂN,7.5 tỷ," Mai Chí Thọ, Hoà Xuân , Cẩm Lệ, Đà Nẵng", 3
300m2,343, 3, Đông Nam,BÁN SIÊU PHẨM BT 3 TẦNG ĐƯỜNG BÙI THIỆN NGỘ - HOÀ XUÂN - TP ĐÀ NẴNG,18.5 tỷ," Bùi Thiện Ngộ, Hoà Xuân , Cẩm Lệ, Đà Nẵng", 4
77m2,277,, Không xác định,CHÍNH CHỦ CẦN BÁN NHÀ ĐƯỜNG PHẠM NGỌC THẠCH KẸP CỐNG,9 tỷ," Phạm Ngọc Thạch, Cẩm Lệ, Đà Nẵng",
100m2,247,, Tây Nam,CHÍNH CHỦ CẦN BÁN LÔ ĐẤT ĐƯỜNG 2 LÀN DIÊN HỒNG - HÒA XUÂN- CẨM LỆ,5.2 tỷ," DIÊN HỒNG, Cẩm Lệ, Đà Nẵng",
270m2,340, 3, Đông Bắc,BÁN NHÀ 3 TẦNG SIÊU ĐẸP ĐƯỜNG DIỆP MINH CHÂU,6.5 tỷ," Diệp Minh Châu, Cẩm Lệ, Đà Nẵng", 3
100m2,350, 3, Đông Bắc,BÁN NHÀ 3 TẦNG ĐƯỜNG DIỆP MINH CHÂU SIÊU ĐẸP - HOÀ XUÂN - TP ĐÀ NẴNG,6.5 tỷ," Diệp Minh Châu , Cẩm Lệ, Đà Nẵng", 7
100m2,328, 3, Đông Bắc,BÁN NHÀ 3 TẦNG SIÊU ĐẸP - HOÀ XUÂN - TP ĐÀ NẴNG,6.5 tỷ," Diệp Minh Châu, Hoà Xuân , Cẩm Lệ, Đà Nẵng", 3
125m2,383, 3, Tây,"BÁN NHÀ 3 TÂNG ĐƯỜNG NGUYỄN HỮU THỌ, VỊ TRÍ SINH LỢI NHUẬN CAO",16.5 tỷ," nguyễn hữu thọ, Cẩm Lệ, Đà Nẵng", 4
128m2,335,, Đông Nam,LÔ GÓC NTP GIÁ SẬP HẦM DUY NHẤT TRÊN THỊ TRƯỜNG,6.3 tỷ," Cẩm Lệ, Đà Nẵng",
125m2,241, 3, Tây,CHÀO BÁN CĂN NHÀ SIÊU ĐẸP ĐƯỜNG NGUYỄN HỮU THỌ,16.5 tỷ," NGUYỄN HỮU THỌ, Cẩm Lệ, Đà Nẵng", 4
100m2,257,, Tây Nam,BÁN ĐẤT ĐƯỜNG THANH LƯƠNG 21 GIÁ SẬP HẦM,3.98 tỷ," Thanh Lương 21, Cẩm Lệ, Đà Nẵng",
125m2,237, 4, Tây,CHÍNH CHỦ CẦN CHUYỂN NHƯỢNG CĂN NHÀ TÂM HUYẾT ĐƯỜNG NGUYỄN HỮU THỌ - KHUÊ TRUNG - ĐÀ NẴNG,12.5 tỷ," Nguyễn hữu thọ, Khuê Trung, Cẩm Lệ, Đà Nẵng", 4
125m2,244, 3, Tây,CHÍNH CHỦ CẦN BÁN CĂN NHÀ 3 TẦNG 3 MÊ ĐƯỜNG NGUYỄN HỮU THỌ VỊ TRÍ ĐẦU TƯ SINH LỢI CỰC CAO,16.5 tỷ," Nguyễn Hữu Thọ, Cẩm Lệ, Đà Nẵng", 6
125m2,239, 4, Tây,CHÍNH CHỦ CẦN CHUYỂN NHƯỢNG CĂN NHÀ TÂM HUYẾT ĐƯỜNG NGUYỄN HỮU THỌ - KHUÊ TRUNG - ĐÀ NẴNG,12.5 tỷ," Nguyễn hữu thọ, Khuê Trung, Cẩm Lệ, Đà Nẵng", 4
100m2,254,, Đông Bắc,CHÀO BÁN LÔ ĐẤT NGÔ HUY DIỄN - VỊ TRÍ CÒN LẠI DUY NHẤT TRÊN THỊ TRƯỜNG,5.25 tỷ," NGÔ HUY DIỄN, Cẩm Lệ, Đà Nẵng",
80m2,227,, Tây,CẦN BÁN NHÀ ĐƯỜNG HÀ DUY PHIÊN VỊ TRÍ ĐẸP GẦN NGÃ TƯ,3.22 tỷ," Hà Duy Phiên, Cẩm Lệ, Đà Nẵng",
100m2,261, 4, Đông Bắc,BÁN NHÀ 4 TẦNG ĐƯỜNG NGUYỄN PHƯỚC LAN - TP ĐÀ NẴNG,16 tỷ," Nguyễn Phước Lan, Hoà Xuân , Cẩm Lệ, Đà Nẵng", 3
157m2,204,, Đông Nam,"CHÍNH CHỦ CẦN BÁN LÔ ĐẤT HAI MẶT TIỀN LỖ GIÁNG 4 VÀ LÊ QUẢNG BA, KHU NAM CẦU CẨM LỆ, ĐÀ NẴNG",4.7 tỷ," Lê Quảng Ba, Cẩm Lệ, Đà Nẵng",
100m2,344,, Bắc,CHÍNH CHỦ CẦN BÁN LÔ ĐẤT ĐƯỜNG CẨM CHÁNH 5 - HÒA XUÂN - CẨM LỆ - ĐÀ NẴNG,3.25 tỷ," Cẩm Chánh 5, Cẩm Lệ, Đà Nẵng",
Liên hệ,231,, Tây Bắc,BÁN ĐINH VĂN CHÂP- HÒA XUÂN ĐẢO 2 - HÒA XUÂN TP ĐÀ NẴNG,4.15 tỷ," Hoà Xuân , Cẩm Lệ, Đà Nẵng",
125m2,247, 3, Tây,BÁN NHÀ 3 TẦNG ĐƯỜNG NGUYỄN HỮU THỌ - TP ĐÀ NẴNG,16.5 tỷ," Nguyễn Hữu Thọ, Khuê Trung, Cẩm Lệ, Đà Nẵng", 4
100m2,238, 2, Tây Nam,BÁN NHÀ 2 TẦNG ĐƯỜNG BÙI CÔNG TRỪNG - SÁT NGÃ TƯ LÊ QUẢNG CHÍ - HÒA XUÂN,4.5 tỷ," Bùi Công trừng, Hoà Xuân , Cẩm Lệ, Đà Nẵng", 2
125m2,221,, Tây Nam,CHÍNH CHỦ GỬI BÁN CĂN NHÀ 3 TẦNG ĐƯỜNG NGUYỄN HỮU THỌ FULL CỬA GỖ SIÊU ĐẸP - GIÁ TỐT THỊ TRƯỜNG,16.5 tỷ," NGUYỄN HỮU THỌ, Cẩm Lệ, Đà Nẵng",
125m2,269, 3, Tây,CHÀO BÁN NHÀ NGUYỄN HỮU THỌ - VỊ TRÍ KINH DOANH HÀNG ĐẦU,16.5 tỷ," NGUYỄN HỮU THỌ, Cẩm Lệ, Đà Nẵng", 4
100m2,276,, Đông Nam,CHÍNH CHỦ GỞI BÁN GẤP LÔ ĐẤT ĐƯỜNG LÊ ẤM VỊ TRÍ CỰC ĐẸP GIÁ CỰC TỐT,4.3 tỷ," Cẩm Lệ, Đà Nẵng",
300m2,277,, Đông Nam,CHÍNH CHỦ CẦN BÁN LÔ BIỆT THỰ BÙI THIỆN NGỘ,13.5 tỷ," bùi thiện ngộ, Cẩm Lệ, Đà Nẵng",
125m2,269, 3, Tây,CHÀO BÁN NHÀ NGUYỄN HỮU THỌ - VỊ TRÍ KINH DOANH HÀNG ĐẦU,16.5 tỷ," NGUYỄN HỮU THỌ, Cẩm Lệ, Đà Nẵng", 4
100m2,346,, Tây,CHÍNH CHỦ CẦN BÁN LÔ PHAN KHÔI - HÒA XUÂN - CẨM LÊ - ĐÀ NẴNG,3.13 tỷ," Phan Khôi, Cẩm Lệ, Đà Nẵng",
99m2,336,, Tây Bắc,CẦN BÁN NHÀ ĐƯỜNG NGUYỄN QUÝ ĐỨC GIÁ SẬP HẦM,4.3 tỷ," Nguyễn Quý Đức, Cẩm Lệ, Đà Nẵng",
100m2,345,, Bắc,CHÍNH CHỦ CẦN BÁN LÔ ĐẤT ĐƯỜNG CẨM CHÁNH 5 - HÒA XUÂN - CẨM LỆ - ĐÀ NẴNG,3.25 tỷ," Cẩm Chánh 5, Cẩm Lệ, Đà Nẵng",
100m2,236,, Bắc,CHÍNH CHỦ CẦN BÁN LÔ ĐẤT ĐƯỜNG CẨM CHÁNH 5 - HÒA XUÂN - CẨM LỆ - ĐÀ NẴNG,3.28 tỷ," Cẩm Chánh 5, Cẩm Lệ, Đà Nẵng",
125m2,262,, Đông Bắc,BÁN ĐẤT ĐƯỜNG VŨ THÀNH NĂM - ĐẢO 2 - KHU ĐÔ THỊ SINH THÁI HÒA XUÂN,5.5 tỷ," VŨ Thành Năm, Cẩm Lệ, Đà Nẵng",
170m2,312,, Đông Nam,CHÀO BÁN LÔ ĐẤT ĐƯỜNG NGUYỄN HỮU THỌ,12.9 tỷ," NGUYỄN HỮU THỌ, Cẩm Lệ, Đà Nẵng",
100m2,237,, Tây Nam,CHÀO BÁN LÔ ĐẤT CỒN DẦU 14 - HÒA XUÂN - CẨM LỆ - ĐÀ NẴNG,4.25 tỷ," cồn dầu 14, Cẩm Lệ, Đà Nẵng",
125m2,269, 3, Tây,CHÀO BÁN NHÀ NGUYỄN HỮU THỌ - VỊ TRÍ KINH DOANH HÀNG ĐẦU,16.5 tỷ," NGUYỄN HỮU THỌ, Cẩm Lệ, Đà Nẵng", 4
105m2,276,, Không xác định,BÁN ĐẤT ĐƯỜNG THÔNG NAM HÒA XUÂN GIÁ CỰC TỐT,3.85 tỷ," Ngũ Hành Sơn, Đà Nẵng",
Liên hệ,241,, Đông Bắc,BÁN LÔ ĐẤT ĐƯỜNG PHAN TRIÊM VỊ TRÍ SẠCH ĐẸP HƯỚNG ĐÔNG BẮC ĐỐI DIỆN SÂN ĐÁ BÓNG,3.85 tỷ," PHAN TRIÊM, Cẩm Lệ, Đà Nẵng",
100m2,368, 3, Tây Nam,BÁN NHÀ 3 TẦNG ĐƯỜNG HUỲNH NGỌC ĐỦ - HOÀ XUÂN - TP ĐÀ NẴNG,5.6 tỷ," Huỳnh Ngọc Đủ, Hoà Xuân , Cẩm Lệ, Đà Nẵng", 3
135m2,335, 4, Đông Bắc,BÁN NHÀ 4 TẦNG 2MT ĐƯỜNG NGUYỄN MẬU TÀI - HOÀ XUÂN - TP ĐÀ NẴNG,9.5 tỷ," Nguyễn Mậu Tài, Hoà Xuân , Cẩm Lệ, Đà Nẵng", 4
100m2,249,, Đông Bắc,BÁN LÔ ĐẤT ĐƯỜNG NGÔ HUY DIỄN GẦN CẦU HOÀ XUÂN - B1.16 LÔ 1X - SẠCH ĐẸP,5.25 tỷ," Ngô Huy Diễn, Cẩm Lệ, Đà Nẵng",
189m2,295,, Tây Nam,CHÍNH CHỦ CẦN BÁN LÔ GÓC 2 MẶT TIỀN ĐƯỜNG MẠC ĐĂNG DUNG - ĐẬU QUANG LĨNH - HOÀ XUÂN - ĐÀ NẴNG,9 tỷ," mạc đăng dung, Cẩm Lệ, Đà Nẵng",
100m2,294,, Tây Nam,CHÀO BÁN LÔ THANH LƯƠNG 28 KẸP CỐNG - HÒA XUÂN - CẨM LỆ - ĐÀ NẴNG,4 tỷ," thanh lương 28, Cẩm Lệ, Đà Nẵng",
117m2,301,, Đông Bắc,CHÀO BÁN LÔ ĐẤT THANH LƯƠNG 26 - ĐÔNG BẮC - SẠCH ĐẸP,3.9 tỷ," Thanh Lương 26, Cẩm Lệ, Đà Nẵng",
100m2,210,, Đông Nam,CHÀO BÁN LÔ ĐẤT CỒN DẦU 24 - HÒA XUÂN - CẨM LỆ - ĐÀ NẴNG,4.1 tỷ," cồn dầu 24, Cẩm Lệ, Đà Nẵng",
170m2,313,, Đông Nam,CHÀO BÁN LÔ ĐẤT ĐƯỜNG NGUYỄN HỮU THỌ,12.9 tỷ," NGUYỄN HỮU THỌ, Cẩm Lệ, Đà Nẵng",
125m2,269, 3, Tây,CHÀO BÁN NHÀ NGUYỄN HỮU THỌ - VỊ TRÍ KINH DOANH HÀNG ĐẦU,16.5 tỷ," NGUYỄN HỮU THỌ, Cẩm Lệ, Đà Nẵng", 4
100m2,301, 2, Tây Nam,BÁN NHÀ SIÊU ĐẸP GIÁ TỐT ĐƯỜNG THANH LƯƠNG 32,4.7 tỷ," THANH LƯƠNG 32, Cẩm Lệ, Đà Nẵng", 2
168m2,257,, Đông Bắc,CẦN BÁN NHÀ 2MT GẦN CHỢ GIÁ RẺ ĐƯỜNG ĐÔ ĐỐC LỘC,9.3 tỷ," Cẩm Lệ, Đà Nẵng",
100m2,203, 3, Đông Bắc,BÁN SIÊU PHẨM NHÀ 3 TẦNG ĐƯỜNG ĐOÀN NGUYÊN TUẤN - HOÀ XUÂN - TP ĐÀ NẴNG,4.79 tỷ," Đoàn Nguyên Tuấn, Hoà Xuân , Cẩm Lệ, Đà Nẵng", 4
250m2,207,, Tây Bắc,BÁN LÔ ĐẤT BIỆT THỰ ĐƯỜNG TÔN THẤT DƯƠNG KỴ KẸP VỆT CÂY XANH,13 tỷ," tôn thất dương kỵ, Cẩm Lệ, Đà Nẵng",
100m2,201,, Đông Nam,CHÍNH CHỦ CẦN BÁN LÔ ĐẤT CÒN DẦU 24,4.1 tỷ," cồn dầu 24, Cẩm Lệ, Đà Nẵng",
