name,Số phòng ngủ,Pháp lý,Hướng ban công,Hướng nhà,Address,Nội thất,Mặt tiền,Diện tích,Đường vào,Số toilet,Mức giá,Số tầng
"Cần bán căn chung cư FPT Plaza 2 Đà Nẵng - 2PN giá chỉ 1,7 tỷ",2 phòng,Sổ đỏ/ Sổ hồng,Đông - Nam,Tây - Bắc,"https://www.google.com/maps/embed/v1/place?q=15.97693157196045,108.26297760009766&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Cơ bản,,68.6 m²,,2 phòng,1.7 tỷ,
"Độc quyền! Duy nhất 1 căn hộ view biển FPT Plaza Đà Nẵng, sổ đỏ, giá rẻ hơn thị trường hơn 200Tr",2 phòng,Sổ đỏ/ Sổ hồng,,,"https://www.google.com/maps/embed/v1/place?q=15.97693157196045,108.26297760009766&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Cơ bản,,75 m²,,2 phòng,1.7 tỷ,
"Cần chuyển nhượng nhà xưởng kinh doanh dịch vụ lô B1 - 1, giá tốt nhất khu vực. Liên hệ 0903 226 ***",,,,,"https://www.google.com/maps/embed/v1/place?q=16.0952578,108.2394318&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,45 m,3814 m²,,,35 triệu/m²,
"Chính chủ cần bán lô đất 2 mặt tiền đường Nguyễn Tất Thành, Đà Nẵng, 400m2, 138 tr/m2: 0903 226 ***",,,,,"https://www.google.com/maps/embed/v1/place?q=16.0862291,108.1582854&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,18.15 m,400 m²,,,138 triệu/m²,
"Đất đường Võ Nguyên Giáp và danh sách cập nhật đất xây cao tầng, giá cạnh tranh, 0932 560 ***",,,,,"https://www.google.com/maps/embed/v1/place?q=16.0574731,108.2465536&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,600 m²,,,Thỏa thuận,
Đất đường Võ Văn Kiệt nối dài và danh sách cập nhật đất xây cao tầng giá cạnh tranh 0932 560 ***,,,,,"https://www.google.com/maps/embed/v1/place?q=16.0622164,108.2386419&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,2000 m²,,,Thỏa thuận,
Chính chủ nhượng lại căn hộ FPT Plaza 2 giá bán nhanh 1.8 tỷ,,,,,"https://www.google.com/maps/embed/v1/place?q=15.976932,108.26298&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,70 m²,,,1.8 tỷ,
Cần tiền ra gấp căn chung cư FPT Plaza 2 view quảng trường nhạc nước giá sụp hầm,2 phòng,Sổ đỏ/ Sổ hồng,Nam,Bắc,"https://www.google.com/maps/embed/v1/place?q=15.9769315719604,108.262977600098&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ.,,68.5 m²,,2 phòng,1.8 tỷ,
Gia đình dời vào Sài Gòn nên cần bán nhà mặt tiền Tạ Mỹ Duật!,2 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0692285,108.235653&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Cơ bản,,87.5 m²,,2 phòng,8.5 tỷ,2 tầng
"Chính chủ bán 1 nền đất giá 1 tỷ 570tr, dt 128m2, Hòa Liên 4",,Sổ hồng,,Tây - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0940981,108.0997439&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,128.8 m²,,,1.57 tỷ,
"Bán đất Hòa Liên 5, Hòa Vang giá rẻ nhất từ 1,4 tỷ",,,,,"https://www.google.com/maps/embed/v1/place?q=16.092055,108.104128&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,7 m,150 m²,,,1.4 tỷ,
Cần bán lô đất biệt thự Nguyễn Tất Thành gần Resort Mikazuki Nhật Bản - Liên Chiểu - Đà Nẵng,,Sổ đỏ/ Sổ hồng,,Đông - Bắc,"https://www.google.com/maps/embed/v1/place?q=16.0862291,108.1582854&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,15 m,375 m²,45 m,,55 triệu/m²,
"Siêu dự án giá rẻ! Chung cư S01 Nguyễn Văn Linh - Đà Nẵng - chỉ từ 588 triệu, full nội thất ở ngay",1 phòng,Sổ đỏ/ Sổ hồng,Đông - Nam,Nam,"https://www.google.com/maps/embed/v1/place?q=16.0592216818497,108.206897928172&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,,32 m²,,1 phòng,588 triệu,
"Cần bán gấp nhà 4 tầng đường Hà Mục, Quận Cẩm Lệ, Đà Nẵng",5 phòng,,,Tây - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0176432,108.2037762&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,5 m,100 m²,7.5 m,3 phòng,5.45 tỷ,4 tầng
"Sun Cosmo Residence Đà Nẵng - Sun Group ra mắt biệt thự, nhà phố vị trí vàng trung tâm thành phố",,Sổ đỏ/ Sổ hồng.,,,"https://www.google.com/maps/embed/v1/place?q=16.05103302001953,108.23609161376953&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,100 m²,,,Thỏa thuận,6 tầng
"Trả góp chỉ 3,8tr/tháng trở thành cư dân của cộng đồng văn minh, The Ori Garden Liên Chiểu Đà Nẵng",2 phòng,Hợp đồng mua bán,Tây,Đông - Nam,"https://www.google.com/maps/embed/v1/place?q=16.09237289428711,108.1265869140625&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Cơ bản,,59.6 m²,,2 phòng,1.2 tỷ,
Shop Villa ở đâu giá rẻ hơn bên em mua luôn,5 phòng,Sổ đỏ/ Sổ hồng,Nam,Nam,"https://www.google.com/maps/embed/v1/place?q=16.033109664916992,108.22423553466797&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Không nội thất,6 m,120 m²,15 m,6 phòng,14.5 tỷ,4 tầng
Căn hộ nhật bản Hiyori chỉ hơn 3 tỷ full nội thất,2 phòng,,,Nam,"https://www.google.com/maps/embed/v1/place?q=16.06191062927246,108.23790740966797&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,63 m²,,2 phòng,Thỏa thuận,
"Trả góp chỉ 3,8 tr/tháng trở thành cư dân của cộng đồng văn minh, The Ori Garden Liên Chiểu Đà Nẵng",2 phòng,,,,"https://www.google.com/maps/embed/v1/place?q=16.09237289428711,108.1265869140625&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Cơ bản,,59 m²,,2 phòng,16 triệu/m²,
Bán khách sạn vỹ thuyên trả nợ trái phiếu,52 phòng,Sổ đỏ/ Sổ hồng,,,"https://www.google.com/maps/embed/v1/place?q=16.0722209365079,108.201165067953&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,9 m,180 m²,12 m,52 phòng,65 tỷ,14 tầng
"Chính chủ bán lô mặt tiền đường Trường Sa, hướng biển 150m2, đối diện Resort Sandy Beach Đà Nẵng",,Sổ đỏ/ Sổ hồng,,Đông,"https://www.google.com/maps/embed/v1/place?q=15.9983246257812,108.267270148132&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,5 m,150 m²,15 m,,Thỏa thuận,
"Bán kho làm nhà xưởng mặt tiền 10m5 tại Phú Thượng, xã Hòa Sơn, Hòa Vang",,Sổ đỏ/ Sổ hồng,,Đông - Bắc,"https://www.google.com/maps/embed/v1/place?q=16.0073657,108.1494302&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,15 m,1000 m²,19 m,,14 tỷ,
Tổng hợp Hoà Xuân- Nam Hoà Xuân giá rẻ nhất thị trường 2tỷ5/lô,,Sổ đỏ/ Sổ hồng,,,"https://www.google.com/maps/embed/v1/place?q=16.0124407,108.2386113&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,100 m²,,,2.45 nghìn,
"Bán nhà đẹp 4 tầng đường Hoài Thanh, Phường Mỹ An gần trường ĐH kinh tế Đà Nẵng",5 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0445536,108.2383348&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,6 m,69 m²,7.5 m,6 phòng,5.6 tỷ,4 tầng
"Nhà phố Regal Pavillon trung tâm Hải Châu ĐN cho thuê 80triệu/th đối diện siêu thị,công viên Châu Á",,,,,"https://www.google.com/maps/embed/v1/place?q=16.033109664917,108.224235534668&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,6 m,120 m²,,,Thỏa thuận,4 tầng
"Chính chủ cần bán nhà cấp 4 lô góc 2 mặt kiệt, có gác lửng 0914 222 ***",2 phòng,,,,"https://www.google.com/maps/embed/v1/place?q=16.0629988,108.2087776&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,69.6 m²,,,2.8 tỷ,
"Bán 1 nền đất Hòa Liên 5 giá 1 tỷ 550tr, mã B2.15 lô 11",,,,,"https://www.google.com/maps/embed/v1/place?q=16.092055,108.104128&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,100 m²,,,1.55 tỷ,
"Cần bán gấp mặt tiền Xô Viết Nghệ Tĩnh, Đà Nẵng giá chỉ 101 triệu/m2 ~ 15 tỉ 2 ~ 150m2. Giá quá tốt",,Sổ đỏ/ Sổ hồng,,Đông - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0324411,108.2186997&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,5 m,150 m²,33 m,,15.2 tỷ,
"Hoa hậu biển 3 mặt tiền Trần Bạch Đằng, ngay bãi tắm Mỹ Khê, Đà Nẵng. Cực hot! 0932 560 ***",,Sổ đỏ/ Sổ hồng,,,"https://www.google.com/maps/embed/v1/place?q=16.0539125,108.2464215&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,1800 m²,,,Thỏa thuận,
Biệt thự Premier Village Đà Nẵng - Võ Nguyên Giáp - Đẳng cấp giới thượng lưu 0932 560 ***,4 phòng,,Đông,Tây,"https://www.google.com/maps/embed/v1/place?q=16.0435066223145,108.248374938965&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,400 m²,,,Thỏa thuận,
"Chính Chủ Cần Sang Nhượng Căn FPT PLAZA 2PN, Kề Sông Cận Biển Chỉ 1ty7. LH: 0901 967 ***",2 phòng,Sổ đỏ/ Sổ hồng,,Đông,"https://www.google.com/maps/embed/v1/place?q=15.976932,108.26298&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Cơ bản,,70 m²,,2 phòng,1.7 tỷ,
"Bán Nhà Đường Bạch Đằng, Vị Trí Vàng, Mặt Sông Hàn, Phố Đi Bộ, 170m2, Giá 79 Tỷ",,,,,"https://www.google.com/maps/embed/v1/place?q=16.0710192,108.2251796&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,170 m²,,,79 tỷ,
Chính chủ bán nhà Nguyễn Thị Minh Khai giá giảm sốc 600 triệu so với trước,4 phòng,Đã có sổ,Bắc,Bắc,"https://www.google.com/maps/embed/v1/place?q=16.0749494,108.2179434&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Cơ bản,4 m,52.2 m²,2 m,3 phòng,3.59 tỷ,3 tầng
Bán nhà kiệt ô tô đương Nguyễn Công Trứ. Giá 3.45 tỷ. LH ngay 0905 259 ***,3 phòng,,,,"https://www.google.com/maps/embed/v1/place?q=16.0658411,108.2388862&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,67 m²,3.5 m,2 phòng,3.45 tỷ,2 tầng
Sắp ra mắt căn hộ cao cấp tầm view 360 tại Sun Cosmo Residence Đà Nẵng,2 phòng,Sổ đỏ/ Sổ hồng,Đông - Nam,Đông - Nam,"https://www.google.com/maps/embed/v1/place?q=16.05103302001953,108.23609161376953&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ.,,40 m²,,2 phòng,2.4 tỷ,
Sắp ra mắt căn hộ cao cấp tầm view 360 tại Sun Cosmo Residence Đà Nẵng,2 phòng,Sổ đỏ/ Sổ hồng,Đông - Nam,Đông - Nam,"https://www.google.com/maps/embed/v1/place?q=16.05103302001953,108.23609161376953&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,,40 m²,,2 phòng,2.4 tỷ,1 tầng
Chính chủ chào bán lô 200m2 biển Non Nước,,Sổ đỏ/ Sổ hồng.,,Nam,"https://www.google.com/maps/embed/v1/place?q=15.9926316,108.269373&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,10 m,200 m²,7.5 m,,65 triệu/m²,
"Bán căn hộ 1PN, 54m2, chung cư Ocean View Sơn Trà, căn hộ biển 1PN, 1 tỷ 6",1 phòng,,,,"https://www.google.com/maps/embed/v1/place?q=16.095062255859375,108.2480239868164&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,54 m²,,1 phòng,1.6 tỷ,
Bán căn shophouse ngay trung tâm thành phố Đà Nẵng,5 phòng,Sổ đỏ/ Sổ hồng,Đông - Nam,Đông - Nam,"https://www.google.com/maps/embed/v1/place?q=16.033109664916992,108.22423553466797&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,6 m,120 m²,7.5 m,6 phòng,14 tỷ,4 tầng
"Bán nhà vườn thiết kế xanh và đẹp. Địa chỉ: đường Chế Lan Viên, Mỹ An, Ngũ Hành Sơn",,,,,"https://www.google.com/maps/embed/v1/place?q=16.0422937,108.2460174&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,60 m²,,,4.5 tỷ,
"Chào bán lô đất 2 mặt tiền đường Võ Nguyên Giáp, quy hoạch xây cao tầng, LH 0935 905 ***",,Sổ đỏ/ Sổ hồng,,Đông,"https://www.google.com/maps/embed/v1/place?q=16.0574731,108.2465536&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,30 m,1000 m²,15 m,,350 triệu/m²,
The Ori Garden: Trao món quà cho tuổi thơ con trọn vẹn,2 phòng,Sổ đỏ/ Sổ hồng,,Tây,"https://www.google.com/maps/embed/v1/place?q=16.09237289428711,108.1265869140625&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,58 m²,,2 phòng,16 triệu/m²,
Sun Cosmo Đà Nẵng - Đỉnh cao sự sang trọng và đẳng cấp bên bờ sông Hàn,3 phòng,Sổ đỏ/ Sổ hồng,Đông - Nam,Tây - Bắc,"https://www.google.com/maps/embed/v1/place?q=16.0510330200195,108.23609161377&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,140 m²,,3 phòng,Thỏa thuận,
"Bạn thực sự cần 1 bất động sản giá trị, khan hiếm, tầm cỡ và để đời thì đây là lựa bạn quan tâm",,,,Tây - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0515136,108.2454557&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,36.5 m,921 m²,,,Thỏa thuận,
"Chuyển nhượng nhà mặt tiền đường Nguyễn Thị Minh Khai, Thạch Thang, Hải Châu, Tp Đà Nẵng",,Sổ đỏ/ Sổ hồng.,,Đông - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0749494,108.2179434&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,11.78 m,371.9 m²,10.5 m,,74 tỷ,
Bán gấp lô đất trục đường chính sát Quốc lộ 14B bên cạnh nhà giá 710tr,,Đã có sổ,,Nam,"https://www.google.com/maps/embed/v1/place?q=15.9285723,108.1244422&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,6.5 m,113 m²,27 m,,710 triệu,
"Bán căn góc mặt tiền phố Bà Huyện Thanh Quan 413,7 m2 đất Đà Nẵng",5 phòng,Sổ đỏ/ Sổ hồng,,,"https://www.google.com/maps/embed/v1/place?q=16.0432963,108.2442865&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Cơ bản,11 m,415 m²,4 m,6 phòng,34 tỷ,2 tầng
"Bán tòa nhà 6 tầng nổi và 1 hầm tiện làm văn phòng, nhà hàng, spa, 2 mặt tiền cách biển 400m",,"Bán tòa nhà 6 tầng nổi và 1 hầm tiện làm văn phòng, nhà hàng, spa... 2 mặt tiền cách biển 400m đường Phạm Vấn (7,5m) và đường Lê Lâm (5,5m). Có 1 thang máy và 2 thang tời hàng đồ ăn riêng, 2 thang bộ. Tòa nhà đầy đủ hệ thống PCCC mới 90%, có trạm biến áp",Đông,Đông - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0862406,108.2447794&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,7.5 m,198 m²,,,21.8 tỷ,6 tầng
Cần bán nhanh lô đất đẹp khu vực Sơn Trà. Bớt lộc cho khách thiện chí. Liên hệ chính chủ 0907 922 ***,,,,,"https://www.google.com/maps/embed/v1/place?q=16.0957939420668,108.235154235045&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,220 m²,,,10.7 tỷ,
"Bán nhà kiệt ô tô TTTP Nguyễn Văn Linh, vị trí đẹp - tiện lợi, gần ĐH Duy Tân, chợ, BV, sân bay",2 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0590245,108.2072037&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,5 m,54.5 m²,3.5 m,1 phòng,4.09 tỷ,2 tầng
"CẦN BÁN 2 LÔ ĐẤT 1500M2 VÀ 3000M2 ĐƯỜNG NGŨ HÀNH SƠN GẦN TRƯỜNG ĐH KINH TẾ ĐÀ NẴNG, LH: 0932 560 ***",,,,,"https://www.google.com/maps/embed/v1/place?q=16.0456253,108.2393319&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,1500 m²,,,Thỏa thuận,
"Cần bán tòa nhà văn phòng 12 tầng, mặt tiền đường Nguyễn Hữu Thọ 0932 560 ***",,,,,"https://www.google.com/maps/embed/v1/place?q=16.0384103,108.2102949&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,450 m²,,,Thỏa thuận,12 tầng
Cục đất gần 1km view sông khu Nam Việt Á - Đà Nẵng. View sông Hàn: 0932 560 ***,,,,,,,,4000 m²,,,Thỏa thuận,
"Cơ hội mua BĐS giá hời với Shophouse Sun Cosmo Đà Nẵng, xây 7 tầng view sông Hàn",,Sổ đỏ/ Sổ hồng,,,"https://www.google.com/maps/embed/v1/place?q=16.05103302001953,108.23609161376953&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,100 m²,,,150 triệu/m²,7 tầng
Nợ không đủ tiền duy trì phải bán nhà vườn rộng gần 6000m2 mặt tiền đường nhựa gần đường vành đai,,Sổ đỏ/ Sổ hồng,,,"https://www.google.com/maps/embed/v1/place?q=16.0487222841441,108.039322952448&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,6000 m²,,,2 tỷ,
"Cty Vidanang chuyển nhượng biệt thự 3 tầng mới đẹp KĐT Hòa Xuân, cần bán gấp giá tốt. Làm việc CC",4 phòng,Sổ đỏ/ Sổ hồng.,Đông - Bắc,Đông - Bắc,"https://www.google.com/maps/embed/v1/place?q=16.0086082,108.2204317&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,10 m,201 m²,7.5 m,4 phòng,10.8 tỷ,3 tầng
"Hãy sở hữu ngay căn hộ tại The Ori Garden chỉ với 3,8 tr/tháng, ngân hàng hỗ trợ 80%",2 phòng,,,,"https://www.google.com/maps/embed/v1/place?q=16.09237289428711,108.1265869140625&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,59 m²,,2 phòng,16 triệu/m²,
"Cần bán các lô đất đường Võ Nguyên Giáp, Hồ Xuân Hương, Trần Bạch Đằng, Đà Nẵng. LH: 0932 560 ***",,Sổ đỏ/ Sổ hồng.,,Đông,"https://www.google.com/maps/embed/v1/place?q=16.0574731,108.2465536&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,1044 m²,,,Thỏa thuận,
Cần bán lô đất 2MT đường Võ Nguyên Giáp 700m2 - LH 0932 560 ***,,,,,"https://www.google.com/maps/embed/v1/place?q=16.0574731,108.2465536&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,700 m²,,,350 triệu/m²,
Sắp ra mắt townhouse dự án Sun Cosmo Residence Đà Nẵng,,Sổ đỏ/ Sổ hồng,,,"https://www.google.com/maps/embed/v1/place?q=16.05103302001953,108.23609161376953&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,140 m²,,,Thỏa thuận,
"Bán lô góc 2 mặt tiền đường Trần Đại Nghĩa và đường Song Hào, Ngũ Hành Sơn, Đà Nẵng. DT: 540m2",,Sổ đỏ/ Sổ hồng.,,Tây - Bắc,"https://www.google.com/maps/embed/v1/place?q=15.991097450256348,108.26021575927734&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,22 m,540 m²,48 m,,70 triệu/m²,
"Cần bán biệt thự mặt biển The Ocean Villa Đà Nẵng giá chỉ 31 tỷ, sổ hồng sở hữu lâu dài",,Sổ đỏ/ Sổ hồng,,,"https://www.google.com/maps/embed/v1/place?q=16.01702308654785,108.26024627685547&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Đầy đủ,,616.3 m²,,,31 tỷ,
Chính chủ cấn bán lô đất mặt tiền đường Tô Vĩnh Diện - Phường Hòa An - Quận Cẩm Lệ - Tp Đà Nẵng,,,,,"https://www.google.com/maps/embed/v1/place?q=16.0521197,108.1771002&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,5 m,106 m²,,,3.1 tỷ,
"Bán nhà gần biển trung tâm Quận Hải Châu diện tích 191m2- phù hợp chia lô, xây biệt thự, kinh doanh",1 phòng,Sổ đỏ/ Sổ hồng,,,"https://www.google.com/maps/embed/v1/place?q=16.0650743,108.221753&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,11.5 m,190 m²,2.5 m,1 phòng,8.5 tỷ,1 tầng
Cần bán nhà đẹp chính chủ hợp mạng Tây Tứ Trạch,2 phòng,Sổ đỏ/ Sổ hồng,Tây - Nam,Tây - Nam,"https://www.google.com/maps/embed/v1/place?q=16.0748802,108.2106104&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",Không nội thất,3.3 m,47 m²,4 m,2 phòng,2.95 tỷ,3 tầng
Bán toà dinh thự sang trọng đẳng cấp duy nhất phong cách tân cổ điển Pháp tại TP biển Đà Nẵng,,,,,"https://www.google.com/maps/embed/v1/place?q=16.0889980205338,108.2415046531&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,1000 m²,,,110 tỷ,
"Hot mua căn hộ FPT Palaza 2 nhận ngay nhiều chính sách ưu đãi từ CĐT, cơ hội bốc thăm trúng thưởng",2 phòng,,,,"https://www.google.com/maps/embed/v1/place?q=15.97693157196045,108.26297760009766&key=AIzaSyAMd45cCGHSmsM2a5APxYRdOwV8kX-4m40",,,68 m²,,,1.7 tỷ,
