Số lầu,Chổ để xe hơi,name,Phòng ăn,Chiều dài,Địa chỉ,Đường trước nhà,Thuộc dự án,Mã tin,Pháp lý,Giá,Nhà bếp,Chính chủ,Sân thượng,Hướng,Loại tin,Chiều ngang,Số phòng ngủ,Loại BDS
3,---,"BÁN NHÀ LÔ GÓC 3 TẦNG FULL NỘI THẤT GỖ QUÝ TRUNG TÂM HUYỆN HÒA VANG,MT QUẢNG XƯƠNG",---,---,"Quốc Lộ 14B, Xã Hòa Phong, Huyện Hòa Vang, Đà Nẵng",20m,,12718896,---,12 tỷ,---,---,---,_,Cần bán,---,3,Nhà mặt tiền
3,true,"Nhà mới Rất Xinh 3 tầng đường Đoàn Nhữ Hài, sát trường c2 Huỳnh Thúc Kháng",true,20m,"Đường Huỳnh Ngọc Huệ, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng","5,5m",,12695632,Sổ hồng/ Sổ đỏ,"5,9 tỷ",true,---,true,Đông Bắc,Cần bán,4m,4,Nhà mặt tiền
---,---,"Bán nhà mặt tiền 3 tầng , mới xây năm 2022. Giá 12 tỷ 500.",---,---,"Đường Văn Cao, Quận Thanh Khê, Đà Nẵng",---,,12678015,---,"12,5 tỷ",---,---,---,_,Cần bán,---,---,Nhà mặt tiền
2,---,Căn hộ FPT Plaza 2 - Thành phố Đà Nẵng - 2 PN - 800 tr sở hữu view quảng trường,---,---,"Đường Võ Chí Công, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng",---,Căn hộ chung cư FPT Plaza (xem chi tiết dự án),12510151,Sổ hồng/ Sổ đỏ,800 triệu,---,---,---,_,Cần bán,---,2,Căn hộ chung cư
---,true,"Bán lô đất 100m2 giá bằng đất kiệt, mặt tiền 5.5m, KĐT Hòa QUÝ (khu Dầu Khí),Nam Hoà Xuân",true,20m,"Đường Minh Mạng, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng","5,5m",,12735469,Sổ hồng/ Sổ đỏ,"2,5 tỷ",true,---,true,_,Cần bán,5m,---,"Đất thổ cư, đất ở"
1,---,"NÓNG_Bán nhà đẹp 53m2 mặt tiền đường Nại Tú 1, Sơn Trà, Đà Nẵng_3.2Tỉ",true,13m,"Đường Nại Tú 1, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",4m,,12735124,Sổ hồng/ Sổ đỏ,"3,2 tỷ",true,---,---,Tây,Cần bán,4m,2,Nhà mặt tiền
---,---,"Bán lô đất 103m2 kiệt Trường Chinh 1,65 tỷ",---,10m,"12 Đường Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng",3m,,11291886,Sổ hồng/ Sổ đỏ,"1,65 tỷ",---,---,---,Đông Nam,Cần bán,10m,---,"Đất thổ cư, đất ở"
---,---,💢Đất kẹp cống Lê Văn Thịnh Liên Chiểu 75m2 (5 x15) giá 3.2 tỷ.,---,15m,"17 Đường Lê Văn Thịnh, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",6m,,11773197,Sổ hồng/ Sổ đỏ,"3,2 tỷ",---,---,---,Tây Bắc,Cần bán,5m,---,"Đất thổ cư, đất ở"
8,true,"Siêu tòa căn hộ dịch vụ view biển - 8 tầng 14 phòng VIP - Đường 15,5m Sơn Trà - Doanh thu",true,12m,"Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",15m,,12734620,Sổ hồng/ Sổ đỏ,"25 triệu / m
2
  ",true,---,true,_,Cần bán,17m,14,"Nhà hàng, khách sạn"
3,true,Cần bán gấp nhà 3 tầng ngay biển Mỹ Khê khu phố Tây .,true,16m,"Đường Tô Hiến Thành, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",6m,,12731225,---,"8,4 tỷ",true,---,true,Đông,Cần bán,5m,4,Nhà mặt tiền
2,true,Nhà 2 tầng sát biển Mỹ Khê khu phố Tây sầm uất nhất Đà Nẵng,true,21m,"55 Đường Ngô Thì Sĩ, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng","7,5m",,12721269,---,"13,8 tỷ",true,---,true,_,Cần bán,5m,4,Nhà mặt tiền
1,true,Cần bán gấp biệt thự sân vườn caphe ngay trung tâm quận liên chiểu .,true,20m,"36-38 Đường Nguyễn Khuyến, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng","7,5m",,12635634,---,"9,9 tỷ",true,---,true,Đông Bắc,Cần bán,10m,2,Nhà mặt tiền
10,---,"Bán toà nhà 2mt Đống Đa, Lý Tự Trọng, dtd: 240m2, dtsd: 2300m, 72 tỷ, thương lượng",---,24m,"191 Đường Đống Đa, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng",15m,,12734876,Sổ hồng/ Sổ đỏ,72 tỷ,---,---,---,Tây Nam,Cần bán,10m,50,"Nhà hàng, khách sạn"
2,---,"🔥🔥🔥BÁN NHÀ 2T SÁT CHỢ MIẾU BÔNG- Diện tích 160m2- ĐƯỜNG RỘNG RÃI- Ô TÔ BĂNG BĂNG- 1,x",---,---,"Quốc lộ 1A, Xã Hòa Phước, Huyện Hòa Vang, Đà Nẵng",7m,,12734001,---,"1,89 tỷ",---,---,---,_,Cần bán,"6,5m",3,Nhà mặt tiền
---,---,"CHÍNH CHỦ CẦN BÁN NHÀ 3 TẦNG 2 MẶT KIỆT VÀ ĐẤT LIỀN KỀ ĐƯỜNG TRẦN CAO VÂN, ĐÀ NẴNG",---,---,"Đường Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng",---,,12659606,---,8 tỷ,---,---,---,_,Cần bán,---,---,Nhà trong hẻm
2,---,Bán nhà MP Bạch Đằng VIP nhất Đà Nẵng 180m hơn 80 tỷ.,---,12m,"Đường Bạch Đằng, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng",13m,,12726097,Sổ hồng/ Sổ đỏ,83 tỷ,---,---,---,_,Cần bán,7m,4,Nhà mặt tiền
2,true,"Bán Nhà Đường Bạch Đằng, Vị Trí Vàng, Mặt Sông Hàn, Phố Đi Bộ, 170m2, Giá 83 Tỷ",true,24m,"Đường Bạch Đằng, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng",15m,,12719579,Sổ hồng/ Sổ đỏ,83 tỷ,true,---,true,_,Cần bán,"6,5m",3,Nhà mặt tiền
2,true,Chỉ 7.3 tỷ có ngay nhà 2 tầng ngang 7m5 mặt tiền Lê Văn Thứ,true,17m,"Đường Lê Văn Thứ, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng","5,5m",,12733662,Sổ hồng/ Sổ đỏ,"7,3 tỷ",true,---,---,Nam,Cần bán,"7,5m",3,Nhà mặt tiền
20,true,"CHỈ VỚI 700TR - SỞ HỮU NGAY CĂN HỘ 2PN – VEN SÔNG, CÁCH BIỂN CHỈ 1.5KM",true,---,"Đường Võ Chí Công, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",---,Căn hộ chung cư FPT Plaza (xem chi tiết dự án),12398677,---,"27 triệu / m
2
  ",true,---,true,_,Cần bán,---,2,Căn hộ chung cư
3,---,"Chuyển nhượng căn góc hoa hậu biệt thự Regal Victoria, 2 mặt tiền, suất ngoại giao cuối cù",---,---,"Đường Võ Nguyên Giáp, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng",15m,,11755800,Sổ hồng/ Sổ đỏ,28 tỷ,---,---,---,_,Cần bán,---,5,Nhà mặt tiền
3,---,"BÁN NHÀ LÔ GÓC 3 TẦNG FULL NỘI THẤT GỖ QUÝ TRUNG TÂM HUYỆN HÒA VANG,MT QUẢNG XƯƠNG",---,---,"Quốc Lộ 14B, Xã Hòa Phong, Huyện Hòa Vang, Đà Nẵng",20m,,12718896,---,12 tỷ,---,---,---,_,Cần bán,---,3,Nhà mặt tiền
2,true,BÁN NHÀ LÊ HỮU TRÁC PHỐ BIỂN -Ô TÔ TRÁNH - CHỈ 45Tr/1M GIÁ ĐẦU TƯ,true,---,"Đường Lê Hữu Trác, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng",5m,,12683968,Sổ hồng/ Sổ đỏ,"3,7 tỷ",true,---,true,_,Cần bán,"4,m",2,Nhà mặt tiền
3,true,GIẢM SỐC 500 TRIỆU NHÀ NGUYỄN CÔNG TRỨ -Ô TÔ ĐỖ CỬA 80M x3 TẦNG FULL NỘI THẤT Ở LUÔN.,true,80m,"Đường Nguyễn Công Trứ, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng",5m,,12728203,Sổ hồng/ Sổ đỏ,4 tỷ,true,---,true,_,Cần bán,"4,5m",3,Nhà mặt tiền
3,true,"Nhà mới Rất Xinh 3 tầng đường Đoàn Nhữ Hài, sát trường c2 Huỳnh Thúc Kháng",true,20m,"Đường Huỳnh Ngọc Huệ, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng","5,5m",,12695632,Sổ hồng/ Sổ đỏ,"5,9 tỷ",true,---,true,Đông Bắc,Cần bán,4m,4,Nhà mặt tiền
---,---,"Bán nhà mặt tiền 3 tầng , mới xây năm 2022. Giá 12 tỷ 500.",---,---,"Đường Văn Cao, Quận Thanh Khê, Đà Nẵng",---,,12678015,---,"12,5 tỷ",---,---,---,_,Cần bán,---,---,Nhà mặt tiền
2,---,Căn hộ FPT Plaza 2 - Thành phố Đà Nẵng - 2 PN - 800 tr sở hữu view quảng trường,---,---,"Đường Võ Chí Công, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng",---,Căn hộ chung cư FPT Plaza (xem chi tiết dự án),12510151,Sổ hồng/ Sổ đỏ,800 triệu,---,---,---,_,Cần bán,---,2,Căn hộ chung cư
---,true,"Bán lô đất 100m2 giá bằng đất kiệt, mặt tiền 5.5m, KĐT Hòa QUÝ (khu Dầu Khí),Nam Hoà Xuân",true,20m,"Đường Minh Mạng, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng","5,5m",,12735469,Sổ hồng/ Sổ đỏ,"2,5 tỷ",true,---,true,_,Cần bán,5m,---,"Đất thổ cư, đất ở"
1,---,"NÓNG_Bán nhà đẹp 53m2 mặt tiền đường Nại Tú 1, Sơn Trà, Đà Nẵng_3.2Tỉ",true,13m,"Đường Nại Tú 1, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng",4m,,12735124,Sổ hồng/ Sổ đỏ,"3,2 tỷ",true,---,---,Tây,Cần bán,4m,2,Nhà mặt tiền
